d1,type,d2
DB00257,0,DB04574
DB04855,0,DB00451
DB05812,0,DB00199
DB08865,0,DB00990
DB00245,0,DB00482
DB00363,0,DB00091
DB00262,0,DB00257
DB00446,0,DB01050
DB01156,0,DB09198
DB00207,0,DB00343
DB00215,0,DB00629
DB06605,0,DB09167
DB01242,0,DB01026
DB01094,0,DB00281
DB00254,0,DB09262
DB04846,0,DB00283
DB01118,0,DB00367
DB00289,0,DB01558
DB09167,0,DB01544
DB01435,0,DB00477
DB01211,0,DB00690
DB01259,0,DB00455
DB01118,0,DB01197
DB00343,0,DB00153
DB08865,0,DB04845
DB00476,0,DB00281
DB00091,0,DB00947
DB00343,0,DB00990
DB01296,0,DB09198
DB00356,0,DB01211
DB06626,0,DB09198
DB00297,0,DB01211
DB00907,0,DB00216
DB00176,0,DB09048
DB00207,0,DB01191
DB01177,0,DB06595
DB00502,0,DB06595
DB01118,0,DB00865
DB00199,0,DB01002
DB00945,0,DB01259
DB00757,0,DB01097
DB00207,0,DB00544
DB00199,0,DB00281
DB06403,0,DB00745
DB00297,0,DB00907
DB00254,0,DB00358
DB00289,0,DB01227
DB01114,0,DB00343
DB01156,0,DB01228
DB00865,0,DB00283
DB00201,0,DB00907
DB00188,0,DB00988
DB00590,0,DB09039
DB01151,0,DB00731
DB00586,0,DB00227
DB06413,0,DB01296
DB00283,0,DB06148
DB00496,0,DB01026
DB01118,0,DB01466
DB01558,0,DB00254
DB00477,0,DB09053
DB00736,0,DB08918
DB00176,0,DB00978
DB00297,0,DB00176
DB00257,0,DB01151
DB00322,0,DB01181
DB00773,0,DB01026
DB12161,0,DB00176
DB00343,0,DB13955
DB09119,0,DB13952
DB04855,0,DB00455
DB00544,0,DB01181
DB01221,0,DB00678
DB01156,0,DB00531
DB00531,0,DB01151
DB01029,0,DB00788
DB00514,0,DB01097
DB00619,0,DB05039
DB01156,0,DB04840
DB00751,0,DB08893
DB00514,0,DB01023
DB00472,0,DB00622
DB09039,0,DB00281
DB00972,0,DB00446
DB00257,0,DB01355
DB08868,0,DB00502
DB00307,0,DB00199
DB00379,0,DB06595
DB06725,0,DB00678
DB00446,0,DB00499
DB01242,0,DB00836
DB00608,0,DB01576
DB01026,0,DB01183
DB13874,0,DB00322
DB05351,0,DB00343
DB12001,0,DB00254
DB00477,0,DB01149
DB00564,0,DB00257
DB00612,0,DB00482
DB00283,0,DB01016
DB00257,0,DB01219
DB00289,0,DB00324
DB00869,0,DB01241
DB00655,0,DB01026
DB08875,0,DB00343
DB00969,0,DB06595
DB01156,0,DB00674
DB00283,0,DB06701
DB00866,0,DB00622
DB00575,0,DB04871
DB00327,0,DB04871
DB00477,0,DB00356
DB06292,0,DB01029
DB00257,0,DB00531
DB09119,0,DB01016
DB00898,0,DB00379
DB00458,0,DB00598
DB09198,0,DB00849
DB00655,0,DB00544
DB13953,0,DB01259
DB09061,0,DB00951
DB00283,0,DB00363
DB06292,0,DB01241
DB00758,0,DB01559
DB00207,0,DB01167
DB01118,0,DB00169
DB01050,0,DB06595
DB00321,0,DB00091
DB00199,0,DB00327
DB01156,0,DB00216
DB00297,0,DB00619
DB01426,0,DB00496
DB08907,0,DB00227
DB00758,0,DB00997
DB00283,0,DB01241
DB00322,0,DB01171
DB00283,0,DB01254
DB13953,0,DB01095
DB08906,0,DB00270
DB00612,0,DB00363
DB00889,0,DB06595
DB00546,0,DB00446
DB09119,0,DB04871
DB00518,0,DB09167
DB00199,0,DB00379
DB01101,0,DB09048
DB09198,0,DB00978
DB01576,0,DB04855
DB01429,0,DB00477
DB01211,0,DB01227
DB00283,0,DB00499
DB00446,0,DB13955
DB09167,0,DB01028
DB09119,0,DB01120
DB00322,0,DB00328
DB01197,0,DB00622
DB00477,0,DB01075
DB09223,0,DB01211
DB08868,0,DB01403
DB13953,0,DB00951
DB01167,0,DB01028
DB00199,0,DB00332
DB01175,0,DB00619
DB00188,0,DB00584
DB00835,0,DB01167
DB01410,0,DB00343
DB01151,0,DB00455
DB01012,0,DB01211
DB00869,0,DB01026
DB00647,0,DB04855
DB00257,0,DB00731
DB00356,0,DB00283
DB01211,0,DB00091
DB11901,0,DB00257
